datasheet_id|line|description|cost|min_count|max_count
000000060|1|1 model|70|1||
000000068|1|3 models|75|1||
000000070|1|10 models|140|1||
000000071|1|3 models|80|1|2|
000000071|1|3 models|90|3||
000000071|2|6 models|160|1|2|
000000071|2|6 models|170|3||
000000073|1|1 model|80|1||
000000076|1|1 model|85|1||
000000079|1|1 model|75|1||
000000083|1|1 model|75|1||
000000086|1|1 model|75|1||
000000086|2|2 models|150|1||
000000087|1|1 model|70|1||
000000091|1|1 model|150|1|2|
000000091|1|1 model|160|3||
000000094|1|1 model|70|1||
000000097|1|1 model|175|1||
000000103|1|3 models|90|1|2|
000000103|1|3 models|100|3||
000000103|2|6 models|180|1|2|
000000103|2|6 models|190|3||
000000112|1|1 model|75|1||
000000114|1|1 model|130|1|2|
000000114|1|1 model|140|3||
000000115|1|1 model|75|1||
000000117|1|1 model|135|1||
000000118|1|5 models|155|1||
000000118|2|10 models|310|1||
000000119|1|1 model|70|1||
000000124|1|1 model|105|1|2|
000000124|1|1 model|115|3||
000000125|1|3 models|120|1|2|
000000125|1|3 models|135|3||
000000125|2|6 models|240|1|2|
000000125|2|6 models|255|3||
000000126|1|5 models|85|1||
000000126|2|10 models|170|1||
000000128|1|5 models|110|1|2|
000000128|1|5 models|120|3||
000000128|2|10 models|180|1|2|
000000128|2|10 models|190|3||
000000135|1|1 model|85|1||
000000136|1|1 model|150|1|2|
000000136|1|1 model|160|3||
000000139|1|1 model|840|1||
000000140|1|1 model|55|1||
000000147|1|5 models|100|1|2|
000000147|1|5 models|110|3||
000000147|2|10 models|200|1|2|
000000147|2|10 models|210|3||
000000218|1|1 model|140|1||
000000219|1|1 model|75|1||
000000225|1|1 model|70|1||
000000226|1|1 model|75|1||
000000230|1|5 models|165|1||
000000230|2|10 models|330|1||
000000231|1|5 models|240|1|1|
000000231|1|5 models|260|2||
000000238|1|1 model|80|1||
000000239|1|1 model|195|1||
000000240|1|1 model|200|1||
000000241|1|3 models|75|1|2|
000000241|1|3 models|85|3||
000000241|2|6 models|150|1|2|
000000241|2|6 models|160|3||
000000242|1|1 model|120|1|2|
000000242|1|1 model|130|3||
000000391|1|1 model|220|1|2|
000000391|1|1 model|240|3||
000000392|1|1 model|220|1|2|
000000392|1|1 model|240|3||
000000393|1|1 model|250|1|2|
000000393|1|1 model|270|3||
000000395|1|1 model|95|1||
000000396|1|1 model|75|1||
000000398|1|1 model|280|1|1|
000000398|1|1 model|300|2||
000001156|1|1 model|125|1||
000001157|1|5 models|80|1||
000001157|2|10 models|150|1||
000001158|1|1 model|60|1||
000001159|1|5 models|85|1|2|
000001159|1|5 models|95|3||
000001159|2|10 models|150|1|2|
000001159|2|10 models|160|3||
000001160|1|5 models|65|1|2|
000001160|1|5 models|75|3||
000001160|2|10 models|120|1|2|
000001160|2|10 models|130|3||
000001165|1|1 model|40|1||
000001172|1|1 model|80|1||
000001174|1|1 model|60|1||
000001177|1|5 models|100|1||
000001177|2|10 models|200|1||
000001183|1|5 models|160|1||
000001183|2|10 models|320|1||
000001188|1|1 model|185|1|2|
000001188|1|1 model|200|3||
000001193|1|3 models|175|1||
000001193|2|6 models|350|1||
000001345|1|1 model|45|1||
000001346|1|1 model|45|1||
000001363|1|1 model|155|1||
000001364|1|1 model|165|1||
000001606|1|5 models|75|1||
000001606|2|10 models|150|1||
000001610|1|1 model|135|1|2|
000001610|1|1 model|145|3||
000001667|1|1 model|160|1|2|
000001667|1|1 model|170|3||
000001668|1|3 models|75|1||
000001825|1|1 model|150|1|2|
000001825|1|1 model|160|3||
000002098|1|5 models|110|1||
000002098|2|10 models|220|1||
000002099|1|3 models|90|1|2|
000002099|1|3 models|100|3||
000002099|2|6 models|180|1|2|
000002099|2|6 models|190|3||
000002202|1|5 models|120|1||
000002202|2|10 models|200|1||
000002255|1|5 models|100|1||
000002255|2|10 models|190|1||
000002266|1|1 model|60|1||
000002270|1|5 models|180|1|1|
000002270|1|5 models|210|2||
000002291|1|1 model|105|1||
000002296|1|1 model|70|1||
000002530|1|1 model|45|1||
000002568|1|1 model|80|1||
000002677|1|1 model|65|1||
000002682|1|1 model|285|1||
000002700|1|1 model|525|1|1|
000002700|1|1 model|575|2||
000002701|1|1 model|70|1||
000002703|1|3 models|150|1||
000002703|2|6 models|300|1||
000002705|1|1 model|160|1|2|
000002705|1|1 model|170|3||
000002707|1|1 model|55|1||
000002711|1|1 model|95|1|2|
000002711|1|1 model|105|3||
000002712|1|3 models|70|1||
000002712|2|6 models|140|1||
000002714|1|1 model|135|1|2|
000002714|1|1 model|145|3||
000002715|1|1 model|140|1|2|
000002715|1|1 model|150|3||
000002717|1|1 model|195|1|2|
000002717|1|1 model|210|3||
000002718|1|5 models|75|1||
000002718|2|10 models|150|1||
000002721|1|1 model|170|1|2|
000002721|1|1 model|190|3||
000002722|1|1 model|230|1|2|
000002722|1|1 model|250|3||
000002727|1|1 model|175|1|1|
000002727|1|1 model|195|2||
000002748|1|3 models|115|1|2|
000002748|1|3 models|125|3||
000002772|1|4 models|105|1||
000002773|1|1 model|40|1||
000002775|1|1 model|40|1||
000002776|1|5 models|85|1|2|
000002776|1|5 models|95|3||
000002776|2|10 models|160|1|2|
000002776|2|10 models|170|3||
000003698|1|3 models|80|1|2|
000003698|1|3 models|90|3||
000003698|2|6 models|170|1|2|
000003698|2|6 models|180|3||
